year,month,day,final_six_figure_odds,one_move_1_num,one_move_2_num,one_move_3_num,one_move_4_num,one_move_5_num,one_move_6_num,one_move_7_num,two_move_1_num,two_move_2_num,two_move_3_num,two_move_4_num,two_move_5_num,two_move_6_num,two_move_7_num
2020,18,12,809154,30,27,42,15,32,45,43,32,17,29,26,19,20,4
2020,9,12,907403,26,6,42,4,5,40,22,11,40,13,31,14,47,2
2020,16,12,804854,28,3,18,33,2,6,47,46,42,25,34,38,9,28
2020,15,11,407507,33,21,41,27,18,3,24,7,14,4,39,32,47,19
2020,13,11,320427,4,46,20,23,34,44,6,27,12,7,41,15,22,6
2020,27,12,839743,18,47,41,30,5,25,3,31,16,42,40,35,39,8
2020,24,12,322916,22,30,12,8,7,35,42,18,27,1,22,3,5,21
2020,30,12,289278,5,25,19,15,47,34,35,14,22,7,4,12,30,36
2020,11,12,123453,28,2,33,26,9,37,22,40,42,3,37,21,34,24
2021,6,1,930868,23,28,22,47,43,34,5,8,49,30,17,28,41,3
2021,10,1,49827,21,33,11,37,28,49,38,27,24,39,32,49,46,12
2021,13,1,641070,8,3,11,49,7,33,26,37,28,33,22,8,9,10
2021,15,1,971511,29,33,21,49,11,7,9,28,48,32,43,26,2,38
2021,17,1,293453,12,36,28,24,20,1,34,36,17,19,33,47,41,25
2020,23,12,214999,35,44,16,25,2,37,23,6,31,22,12,46,15,24
2020,25,12,199330,10,2,27,12,16,29,36,39,33,46,7,13,32,17
2020,20,12,449256,16,42,39,5,29,3,23,43,8,37,34,41,23,38
